Time,The 1th agent_x,The 1th agent_y,The 2th agent_x,The 2th agent_y,The 3th agent_x,The 3th agent_y,The 4th agent_x,The 4th agent_y,The 5th agent_x,The 5th agent_y,The 6th agent_x,The 6th agent_y,The 7th agent_x,The 7th agent_y,The 8th agent_x,The 8th agent_y,The 9th agent_x,The 9th agent_y,The 10th agent_x,The 10th agent_y,The 11th agent_x,The 11th agent_y,The 12th agent_x,The 12th agent_y,The 13th agent_x,The 13th agent_y
20,-4.150988116832446,4.149261321980324,-0.10012212626583698,2.132081675749396,4.115727518165546,4.17692889909182,-2.592106371727999,-0.012727142060529611,-0.4429106429413136,0.00568321717462103,1.9811630415693149,-0.0015508267792881862,-4.205063410144723,-4.047473632603282,-0.053302594272561794,-2.1530248353107684,4.136374557574476,-4.165805495136265,-5.652425231317576,0.16322116008933912,5.568051302833961,0.053737746507760795,-0.2998009813085617,-5.562627245896946,-0.20176880885386794,5.531619555360161
21,-4.162635976348581,4.1644147358340895,-0.10226553606741044,2.1425333253696937,4.120329178537284,4.186491677722673,-2.6173341233034333,-0.013867913777970316,-0.4731927864880166,0.0042139928367000605,1.9902443378240589,-0.0004315255967382726,-4.228255100536201,-4.05044034198152,-0.05246710111164772,-2.165477085740683,4.144247124289383,-4.172562582919654,-5.652540773033963,0.1933111435357301,5.5765233781010055,0.060493756642617476,-0.30755070794946276,-5.570504716712506,-0.20752254197980258,5.539939370682766
22,-4.178993410508779,4.173665007709824,-0.10303279041992738,2.153508344524029,4.126831053638961,4.19323525799101,-2.638032585268476,-0.015396201260714368,-0.5019008107598683,0.0021592847358268114,1.999479937678386,-0.00021261773347271137,-4.241714077465533,-4.058341470862248,-0.047820755488922916,-2.178382744810464,4.151711468510043,-4.179924866671866,-5.651967764833708,0.19307873186779786,5.584743221118174,0.06359018503027393,-0.31136056815728136,-5.578779643486041,-0.21057511991613037,5.54755090132057
23,-4.195237354657185,4.181072697525907,-0.10356605878431704,2.1638942686568563,4.130244657549231,4.203256112464649,-2.663649206544837,-0.012689832519560339,-0.5308250004232428,1.7141779503773447e-05,2.011252776829048,0.0005325011660598862,-4.25290504105828,-4.066326142822216,-0.04474468704965514,-2.192230496227183,4.1577554186763805,-4.18864090120352,-5.655820505897352,0.1801071984666126,5.5929865449375855,0.0687274632258928,-0.3207640945942692,-5.587337121265909,-0.2174664860052437,5.555954871616949
24,-4.208017943662414,4.1887052643433265,-0.10419883600880063,2.174684515521648,4.135587026558676,4.2112629349111455,-2.6920366244250964,-0.011292416809345058,-0.5571854024369883,-0.002460312029665136,2.0225092324200067,0.0016056536212717895,-4.262917400496245,-4.07406005910878,-0.04084760544844196,-2.206393881059688,4.165361484002433,-4.19513069846883,-5.664084400515951,0.17271655219890664,5.60150674592318,0.07416772446280175,-0.3275138274280635,-5.595304919325388,-0.2203290418528588,5.563829052482369
25,-4.21826180210776,4.196900596140878,-0.10400226286099021,2.187763910669154,4.141975055858415,4.219651562725361,-2.72609435957497,-0.011600714152936977,-0.5825096691106957,-0.005095270103254177,2.0356030549258404,0.0018648810220594674,-4.272125440762766,-4.083089518626353,-0.03762778150421264,-2.222614879625129,4.171725203957319,-4.203904617737268,-5.677077915532938,0.1736102445368717,5.609781487709373,0.07567080161497318,-0.3312637621069547,-5.6049104966677294,-0.22441055678479607,5.572827215818087
26,-4.2254540815430515,4.205571218081456,-0.10270520409003506,2.199363589878592,4.145961100531376,4.230031363006786,-2.758730768877486,-0.010230923880242954,-0.605955203932232,-0.006706142874237277,2.047835400078402,0.0024152490433780155,-4.283221385307622,-4.088229966545581,-0.03606197601483787,-2.2372623428431306,4.177479421530735,-4.212628161800428,-5.690051303334475,0.18101022816030624,5.615796565926064,0.07963355276970503,-0.34087804824217505,-5.613374317336417,-0.23173181432872136,5.581303012025464
27,-4.234666531483931,4.2118363260568366,-0.09840311713936449,2.213670060414337,4.153984302661588,4.238540219757136,-2.792176951916473,-0.011345016339135547,-0.6310393503067678,-0.006909897370441537,2.059053917723552,0.0029953656652079975,-4.291952256611704,-4.096320344744383,-0.03299744009613348,-2.251762666498716,4.18502372918863,-4.220193591362933,-5.7032397762545175,0.18036003022957414,5.62044126809466,0.08181100139434586,-0.34601032067492365,-5.621909658911948,-0.236186389189811,5.5897149976188265
28,-4.243406852678062,4.21870683640248,-0.09401175112145112,2.228603383291077,4.162076254024282,4.248158074297123,-2.8261879622081874,-0.012385787585720846,-0.6577061281849712,-0.007798727558353633,2.0690434552324204,0.003682412648311552,-4.300593181451814,-4.104756336259347,-0.03004706544696008,-2.2685191799381283,4.190453026004339,-4.230205276946991,-5.716553275864917,0.1797519968442315,5.622634045166762,0.08013294906105499,-0.3515147145430896,-5.6315439361362065,-0.23987795035750833,5.5984967080864045
29,-4.251404292984619,4.225472212104155,-0.08853205089474332,2.2449810988872083,4.16936136988456,4.2587961584544685,-2.858162629077158,-0.012269368539853978,-0.680672761429791,-0.00792208164877121,2.079201047057086,0.0044214835799394,-4.311078147089926,-4.111267107817938,-0.027109292992535762,-2.285935656054588,4.197367027051757,-4.239659912974521,-5.729695884356485,0.17994044212008126,5.624211421740532,0.0816372473517837,-0.36110518315723045,-5.639926555328317,-0.2453044957660012,5.607914127661604
30,-4.261822676231558,4.23088611900065,-0.08482868477690059,2.261448981405875,4.178352093117066,4.267397128139133,-2.8895193767259606,-0.014957473605891078,-0.702891735160678,-0.007847049761939732,2.088651928010912,0.004041501037974989,-4.3187222585389975,-4.121761220256952,-0.023374804093395693,-2.301751975165418,4.205966491480446,-4.248509186497952,-5.742585456964696,0.17303740825408992,5.625217849819785,0.08236377172450943,-0.3636338863189165,-5.647095620481684,-0.24839190181003307,5.616267983641769
31,-4.271243959515164,4.238689879013596,-0.08153582484652756,2.278370927562485,4.185861335922871,4.2793282167480795,-2.923385844622601,-0.016981312568352964,-0.7262526945342965,-0.006262517245933089,2.0987410049492596,0.004266694568372788,-4.328526613518925,-4.1326574057814645,-0.021604052481513602,-2.316671744522115,4.213138430306165,-4.260049192762868,-5.756723357616689,0.1688194020702123,5.624297794975883,0.08237023240751053,-0.3669774264171507,-5.652819693981315,-0.25108143917162584,5.624543440509964
32,-4.28005120909319,4.246611147292967,-0.0781457429232939,2.293655299499638,4.193857601135704,4.290443709084121,-2.9567566193122916,-0.019435917236191792,-0.7490913186747301,-0.004223186959323504,2.1074205164308295,0.004974617413363485,-4.338429460280727,-4.142440153013974,-0.01756302387686993,-2.3301986656144678,4.222606450467206,-4.269570366463747,-5.770436504567526,0.16782237823896076,5.622830626513592,0.08326700378022936,-0.3674431431498648,-5.6562597776877945,-0.2534099046308687,5.63061124169466
33,-4.289790919266765,4.2533595912201845,-0.07294134479759071,2.3087413926347335,4.203810178559237,4.300168656598485,-2.9926121817244242,-0.02341347835732871,-0.7740610021448954,-0.0013557709739948985,2.115595110171126,0.004859205756375748,-4.346078130139087,-4.154051926051212,-0.012139220512435324,-2.341794984456335,4.231466709290694,-4.280178396091829,-5.784958670339523,0.16331795165823876,5.6208851015827745,0.08132821336458122,-0.36561534874227136,-5.658740797504826,-0.2540979107646564,5.635086848309228
34,-4.297178677699337,4.262614353590794,-0.06800922120004398,2.3235384381526707,4.2121546020365574,4.311534832529026,-3.0268838614536633,-0.025569825695797067,-0.7980742954900089,0.0032404384408596947,2.1233936376402087,0.005802442789974255,-4.355751463042146,-4.1636324220860335,-0.008387677628572355,-2.351945285305419,4.239253411633303,-4.291342823530119,-5.79882445862476,0.1642731608504516,5.618095574703502,0.08040452635476993,-0.36588415988978024,-5.660165416290909,-0.2527271009152154,5.6389383560649
35,-4.306135953461322,4.272177607360011,-0.06357173305357866,2.3389457497994965,4.22275781075563,4.321162402409632,-3.0599414478228897,-0.027452074761269,-0.8209219328908844,0.00865362413684972,2.13025349918463,0.007168763199153771,-4.364929409077844,-4.174912820722286,-0.0058458832567663925,-2.360452245568372,4.249355970259583,-4.299801893980383,-5.8114347559680555,0.16367028637595119,5.615654719936164,0.07958926392803096,-0.35987274194719093,-5.659914373206713,-0.24919869573203712,5.641639403695589
