Time,The 1th agent,The 2th agent,The 3th agent,The 4th agent,The 5th agent,The 6th agent,The 7th agent,The 8th agent,The 9th agent,The 10th agent,The 11th agent,The 12th agent,The 13th agent
39,127.51803195491956,21.211325435749337,111.99942084701959,2.9272996536374785,1.3989624100223228,18.162991310647797,130.966027926324,19.45628870196296,109.80950230191286,22.035517679840776,13.577692954651269,15.71137450896087,17.4095977009953
40,124.50710813585073,21.025050398773903,109.08005888268322,2.6322921579010456,1.3296871456616393,17.980744640985673,128.04282884370923,19.06232906336433,106.78783974454467,20.985633400435653,13.1848977669361,15.193107850666818,16.68513534038856
41,121.62907104709572,20.85596334976123,106.24923260405899,2.2638878123708017,1.3542767743054775,17.84156496691232,125.12555162922231,18.642535460673447,103.96055164795213,20.096850760299112,12.8088790990978,14.731416844392598,16.09510426893208
42,118.62738400588118,20.594245898711776,103.2460734343361,1.8247803398086115,1.3274597713875356,17.65173632289133,122.06217698415156,18.344754186570807,100.97583630203235,19.420864026195424,12.42708642943986,14.22250964026918,15.639888104288344
43,115.74571950188225,20.30761576666225,100.3818892459652,1.4387694738724142,1.2243332030162932,17.457227735347733,119.18669388536554,18.16960452078601,98.03251686313251,18.839253562104272,12.069763224887707,13.739367638579932,15.238367337668064
44,112.91003466336855,19.972584582573276,97.55489154734909,0.9387363333757011,1.111905352077495,17.268964549174644,116.29787844911539,18.023939422525775,95.12103500878706,18.443323984255464,11.707340657202048,13.326382408297253,14.865267158804896
45,110.01668569058471,19.66916225402063,94.67688706338373,0.6000279283493913,0.9693739563629242,17.038510811291165,113.34684176653191,17.898968232548455,92.21870540098634,18.201795607055203,11.423604044620326,13.038916667505479,14.491677520612775
46,107.2241864535196,19.440132366493618,91.86827095955807,0.6659810905613087,0.8137562270481541,16.842255296815203,110.50715091178706,17.75859142740428,89.41402910250866,17.913884639232872,11.227259654608261,12.785490237173324,14.131365935511711
47,104.37094846190381,19.24482974111758,89.01894818269028,0.8090596694303138,0.705652645703223,16.719513472289215,107.59735389573005,17.629909162023743,86.45523913153038,17.573255968216507,10.994980327056446,12.480449005660068,13.794037105022753
48,101.43920019314407,19.072723962997276,86.15477217534091,1.1427130733650646,0.5937953087893628,16.68707017007651,104.70479350898647,17.56141406580498,83.49036631419932,17.210668015711164,10.745561666023981,12.230772973573133,13.517302762429706
49,98.46065374813656,18.869443934617916,83.25563106774979,1.488559377136107,0.49094598668037887,16.66914165130179,101.75140457968969,17.407135267371896,80.5919628886193,16.805263028468648,10.52819685828228,11.969860480292084,13.241525081785756
50,95.54673360731707,18.71128230271316,80.35806844890489,1.779151766952174,0.45030610990484654,16.663411855021376,98.83599068501503,17.264282140533965,77.61616148831494,16.363163821200107,10.279712409828512,11.687717692005554,12.960433235845109
51,92.57812783248377,18.643402968788134,77.47735965222465,2.1341471213852983,0.4452978596618218,16.66082233696793,95.91785470442593,17.16712697254696,74.64640356964937,15.959228979450815,10.044232024018596,11.487408271992184,12.656043222070643
52,89.62202116681762,18.569162837717254,74.57592398288767,2.4431924574918407,0.5359036359243318,16.680393481968885,92.95989457906768,16.979965568924857,71.77559102246862,15.680847170351143,9.826501506794793,11.331770213359974,12.360114948068592
53,86.80287606820993,18.49340267720288,71.74104331974583,2.6517793082599757,0.7384879317614226,16.683163576047747,90.11965895393672,16.812922759076535,68.9387155611655,15.51461948236244,9.59563905982965,11.28673885760305,12.095992920387026
